X,Y
"Установка для динамической балансировки включает вибродатчики и измерительный блок.","установка для динамической балансировки; вибродатчик; измерительный блок;"
"Цилиндр тормозной рабочий колесный, поршень и уплотнения.","цилиндр тормозной; рабочий цилиндр; колесный цилиндр; поршень; уплотнение;"
"Масс-спектрометр с индуктивно-связанной плазмой для элементного анализа включает ICP-источник и масс-анализатор.","масс-спектрометр с индуктивно-связанной плазмой; ICP-источник; масс-анализатор;"
"Радиочастотный аблятор для разрушения тканей радиочастотным излучением включает радиочастотный генератор и электроды.","радиочастотный аблятор; радиочастотный генератор; электроды;"
"Реле давления мембранное с микропереключателем, настроечная пружина.","реле давления; мембранное реле; микропереключатель; настроечная пружина;"
"Гелиограф для регистрации продолжительности солнечного сияния представляет собой сферическую линзу, фокусирующую лучи на бумажной ленте.","гелиограф; регистрация продолжительности солнечного сияния; сферическая линза; бумажная лента;"
"Способ производства ячменной крупы включает шелушение ячменя и дробление.","способ производства ячменной крупы; шелушение ячменя; дробление;"
"Установка для производства метанола из природного газа с использованием парового риформинга и синтеза в реакторе с кипящим слоем катализатора и выносным теплообменником.","паровой риформинг; реактор с кипящим слоем катализатора; выносной теплообменник;"
"Клапан обратный поворотного типа с упором, обеспечивает движение среды в одну сторону.","клапан обратный; поворотный тип; упор; среда;"
"Шаровой кран для газопровода имеет плавающий шар, который под давлением среды прижимается к уплотнениям седла из фторопласта.","шаровой кран; газопровод; плавающий шар; давление среды; уплотнение; седло; фторопласт;"
"Сальниковое уплотнение для вращающихся валов состоит из корпуса с набивкой из графитированного шнура, грундбуксы и нажимной втулки с болтами.","сальниковое уплотнение; вращающийся вал; корпус; набивка; графитированный шнур; грундбукса; нажимная втулка; болт;"
"Амортизатор гидравлический телескопический двухтрубный, шток и поршень с клапанами.","амортизатор; гидравлический амортизатор; телескопический амортизатор; двухтрубный амортизатор; шток; поршень с клапанами;"
"Давление жидкости, действующее на плавающие пластины в diametrically противоположных зонах, создает крутящий момент на валу пластинчатого гидромотора.","давление; жидкость; пластина; крутящий момент; вал; пластинчатый гидромотор;"
"Стенд для испытания редукторов с нагрузочным устройством и измерителями крутящего момента включает тормоз и датчики момента.","стенд; испытание; редуктор; нагрузочное устройство; крутящий момент; тормоз; датчик момента;"
"Корпус воздушного фильтра с патрубками подвода и отвода воздуха.","корпус; воздушный фильтр; патрубок подвода; патрубок отвода;"
"Установка для переработки газоконденсата с получением товарных продуктов включает колонны стабилизации и фракционирования.","колонны стабилизации и фракционирования;"
"Дробилка молотковая оборудована корпусом с ротором, молотками, ситом, загрузочным бункером и приводом.","дробилка молотковая; корпус; ротор; молоток; сито; загрузочный бункер; привод;"
"Гидротрансформатор автоматической коробки передач объединяет насосное колесо, турбинное колесо и реактор в общем корпусе.","насосное колесо; турбинное колесо; реактор;"
"Стартер автомобильный с тяговым реле и бендиксом.","стартер автомобильный; тяговое реле; бендикс;"
"Опора скользящая для трубопроводов из полимерных материалов состоит из хомута, опорной плиты и антикоррозионного покрытия.","опора; скользящая опора; трубопровод; полимерный материал; хомут; опорная плита; антикоррозионное покрытие;"
"В кожухотрубном теплообменнике пучок труб развальцован в трубных решетках. Аппарат оснащен поперечными перегородками в межтрубном пространстве.","кожухотрубный теплообменник; пучок труб; трубная решетка; поперечная перегородка; межтрубное пространство;"
"Тканевой процессор для автоматической фиксации и заливки тканей включает карусель с реагентами и вакуумную систему.","тканевой процессор; автоматическая фиксация тканей; автоматическая заливка тканей; карусель с реагентами; вакуумную систему;"
"Компрессор винтовой маслозаполненный для компримирования газа включает пару роторов с асимметричным профилем зубьев.","пара роторов с асимметричным профилем зубьев;"
"Альбедометр для измерения отражательной способности поверхности состоит из двух пиранометров, один направлен вверх, другой вниз.","альбедометр; измерение отражательной способности; поверхность; два пиранометра;"
"Рукавный фильтр для очистки воздуха имеет корпус с бункером и фильтровальные рукава, регенерация рукавов импульсная сжатым воздухом.","рукавный фильтр; очистка воздуха; корпус; бункер; фильтровальный рукав; сжатый воздух;"
"Расходомер электромагнитный для воды измеряет объемный расход на основе закона Фарадея.","расходомер; электромагнитный расходомер; вода; объемный расход; закон Фарадея;"
"Система автоматического полива футбольного поля включает выдвижные дождеватели с электроприводом и контроллер.","система автоматического полива футбольного поля; выдвижной дождеватель с электроприводом; контроллер;"
"Система автоматического управления анализатором белков включает спектрофотометр.","система автоматического управления анализатором белков; спектрофотометр;"
"Пробоподготовка для хроматографии включает твердофазную экстракцию на картриджах с различными сорбентами.","пробоподготовка для хроматографии; твердофазная экстракция; картриджи с сорбентами;"
"Устройство для беспроводной передачи данных в промышленных сетях включает промышленный маршрутизатор и GSM-модем.","устройство для беспроводной передачи данных в промышленных сетях; промышленный маршрутизатор; GSM-модем;"
"Установка для переработки кокоса в кокосовое масло включает пресс.","установка для переработки кокоса в кокосовое масло; пресс;"
"Разбрасыватель минеральных удобрений имеет бункер и центробежный рабочий орган для распределения гранул по поверхности поля.","разбрасыватель минеральных удобрений; бункер; центробежный рабочий орган; распределение гранул;"
"Искровые промежутки вентильного разрядника пробиваются при перенапряжении, после чего ток ограничивается рабочим резистором.","искровой промежуток; вентильный разрядник; перенапряжение; ток; рабочий резистор;"
"Дымовой пожарный извещатель оптико-электронного типа содержит оптическую камеру с излучателем и фотоприемником.","дымовой пожарный извещатель оптико-электронного типа; оптическая камера с излучателем и фотоприемником;"
"Направляющий аппарат центробежного компрессора лопаточный диффузорного типа, лопатки профилированные.","направляющий аппарат; центробежный компрессор; лопаточный диффузор; диффузорный тип; профилированная лопатка;"
"Установка для переработки бузины в масло включает экстрактор.","установка для переработки бузины в масло; экстрактор;"
"Рукавный фильтр для цементной промышленности содержит корпус с бункером и фильтровальные рукава, регенерируемые импульсами сжатого воздуха.","рукавный фильтр; цементная промышленность; корпус; бункер; фильтровальный рукав; регенерация; импульс; сжатый воздух;"
"Дроссельный узел с электронным управлением и датчиком положения.","дроссельный узел; электронное управление; датчик положения;"
"Психрометр аспирационный для точного измерения влажности воздуха с принудительной вентиляцией содержит вентилятор, обдувающий термометры.","психрометр аспирационный; вентилятор;"
"Фильтр-пресс для разделения суспензий под давлением включает пакет фильтровальных плит с полостями и зажимное устройство.","фильтр-пресс; разделение суспензий; давление; пакет фильтровальных плит с полостями; зажимное устройство;"
"Устройство для измерения пластового давления в скважине с использованием оптоволоконного датчика давления и системы регистрации.","оптоволоконный датчик давления; система регистрации;"
"Способ производства масла из иланг-иланга включает паровую дистилляцию.","способ производства масла из иланг-иланга; паровая дистилляция;"
"Время истечения жидкости через капилляр вискозиметра или крутящий момент на роторе определяют вязкость жидкости.","жидкость; капилляр; вискозиметр; крутящий момент; ротор; вязкость;"
"Датчик угарного газа для контроля концентрации CO в воздухе включает электрохимический сенсор.","датчик угарного газа; контроль концентрации CO; воздух; электрохимический сенсор;"
"Головка блока цилиндров дизельного двигателя из алюминиевого сплава, в ней размещены впускные и выпускные клапаны.","головка блока цилиндров; дизельный двигатель; алюминиевый сплав; впускной клапан; выпускной клапан;"
"Экран защитный камеры сгорания из жаропрочного материала, теплоизоляция.","экран защитный; камера сгорания; жаропрочный материал; теплоизоляция;"
"Лабораторный реактор стеклянный с рубашкой для термостатирования и мешалкой состоит из стеклянного сосуда, рубашки, крышки и перемешивающего устройства.","реактор; лабораторный реактор; стеклянный реактор; рубашка; термостатирование; мешалка; стеклянный сосуд; крышка; перемешивающее устройство;"
"Ремень ГРМ зубчатый армированный, зубья ремня.","ремень ГРМ; зубчатый ремень; армирование; зуб ремня;"
"Частотомер подсчитывает количество периодов сигнала за единицу времени.","частотомер; период; сигнал; время;"
"Генератор автомобильный трехфазный со встроенным выпрямителем.","генератор автомобильный; трехфазный генератор; встроенный выпрямитель;"
"Устройство для измерения пластового давления в скважине с использованием оптоволоконного датчика давления с решеткой Брэгга.","оптоволоконный датчик давления; решетка Брэгга;"
"Повторитель поворота в зеркале светодиодный.","повторитель поворота; зеркало; светодиодный повторитель;"
"Система автоматического управления чиллером включает контроллер и датчики давления.","система автоматического управления чиллером; контроллер; датчик давления;"
"Зерноуборочный комбайн для уборки зерновых культур объединяет жатку, молотилку, сепаратор и бункер для зерна.","зерноуборочный комбайн; жатка; молотилка; сепаратор; бункер для зерна;"
"Твердомер для полимеров по методу Шора с индентором в виде усеченного конуса включает нагружающую пружину и индикатор.","твердомер для полимеров; метод Шора; индентор в виде усеченного конуса; нагружающая пружина; индикатор;"
"Лабиринтное уплотнение турбомашины содержит набор гребешков на роторе и ответные вставки с сотовой структурой в статоре, образующие дросселирующие зазоры.","лабиринтное уплотнение; турбомашина; гребешок; ротор; вставка; сотовая структура; статор; дросселирующий зазор;"
"Фильтр смешанного действия для глубокого обессоливания воды включает корпус со смесью катионита и анионита.","фильтр смешанного действия; корпус со смесью катионита и анионита;"
"Имитатор термопары для проверки вторичных приборов и систем измерения температуры.","имитатор; термопара; проверка; вторичный прибор; измерение температуры;"
"Установка для стабилизации конденсата с получением стабильного конденсата и ШФЛУ с использованием колонны стабилизации, компрессора, ректификационной колонны для разделения ШФЛУ, пропанового холодильника и системы автоматического регулирования.","колонна стабилизации; компрессор; ректификационная колонна для разделения ШФЛУ; пропановый холодильник; система автоматического регулирования;"
"Установка для получения водорода паровой конверсией метана с использованием трубчатой печи, катализатора на основе никеля и системы утилизации тепла дымовых газов для подогрева питательной воды, паровоздушной смеси и генерации пара, с котлом-утилизатором.","трубчатая печь; катализатор на основе никеля; система утилизации тепла дымовых газов; подогрев питательной воды; паровоздушная смесь; генерация пара; котел-утилизатор;"
"Латунный фитинг для полипропиленовых труб с никелированным покрытием и уплотнительными кольцами из EPDM обеспечивает надежное и герметичное соединение труб в системах водоснабжения и отопления.","фитинг; латунный фитинг; полипропиленовая труба; никелированное покрытие; уплотнительное кольцо; EPDM; герметичность; водоснабжение; отопление;"
"Циклонный сепаратор спроектирован с входным патрубком, корпусом конической формы, выхлопной трубой, бункером для сбора твёрдых частиц и системой выгрузки осадка.","циклонный сепаратор; входной патрубок; корпус конической формы; выхлопная труба; бункер; система выгрузки осадка;"
"Система автоматической парковки автомобилей включает механические подъемники и платформы с электроприводом.","система автоматической парковки автомобилей; механический подъемник; платформа с электроприводом;"
"Мутномер для контроля мутности воды в системах водоподготовки и очистки.","мутномер;"
"Сканирующий электронный микроскоп для изучения микроструктуры поверхности с высоким разрешением включает электронную пушку, систему фокусировки пучка и детекторы сигнала.","сканирующий электронный микроскоп; электронная пушка; система фокусировки пучка; детекторы сигнала;"
"Электромагнитный отсечной клапан для газа с быстродействием перекрывает подачу газа при аварийной ситуации по сигналу от системы безопасности.","электромагнитный клапан; отсечной клапан; газ; подача; аварийная ситуация; сигнал; система безопасности;"
"Установка для производства серы из кислых газов методом Клауса с дожиганием хвостовых газов.","метод Клауса; дожигание хвостовых газов;"
"Воздухоподогреватель для подогрева воздуха, подаваемого в топку котла, включает вращающийся регенератор или трубчатый теплообменник.","воздухоподогреватель; вращающийся регенератор; трубчатый теплообменник;"
"Дисковый затвор для трубопроводов включает корпус с седлом, поворотный диск с уплотнительным кольцом, вал с подшипниками и ручной редуктор.","дисковый затвор; трубопровод; корпус; седло; поворотный диск; уплотнительное кольцо; вал; подшипник; ручной редуктор;"
"Селективность в хроматографии характеризует способность разделять компоненты смеси.","селективность;"
"Обогрев форсунок омывателя с электроподогревом.","обогрев форсунок омывателя; электроподогрев;"
"Центробежный компрессор с системой промежуточного охлаждения содержит рабочее колесо с лопатками, безлопаточный диффузор, обратный направляющий аппарат и трубчатый теплообменник между ступенями.","центробежный компрессор; промежуточное охлаждение; рабочее колесо; лопатка; безлопаточный диффузор; обратный направляющий аппарат; трубчатый теплообменник; ступень;"
"Устройство для измерения расхода газа в магистральном газопроводе с использованием ультразвукового расходомера с многолучевой схемой, системой самодиагностики, резервированием измерительных каналов, встроенным архиватором и защитой от несанкционированного доступа, с дублированием питания и интерфейсами связи, с поверкой и калибровкой, с ПО и дисплеем, с диагностикой.","ультразвуковой расходомер с многолучевой схемой; система самодиагностики; резервирование измерительных каналов; встроенный архиватор; защита от несанкционированного доступа; дублирование питания; интерфейсы связи; поверка; калибровка; ПО; дисплей; диагностика;"
"Кран отопителя с электроприводом и регулирующим клапаном.","кран отопителя; электропривод; регулирующий клапан;"
"Щит управления вентиляцией для размещения пускорегулирующей аппаратуры включает корпус, автоматические выключатели, пускатели и частотные преобразователи.","щит управления вентиляцией; размещение пускорегулирующей аппаратуры; корпус; автоматические выключатели; пускатели; частотные преобразователи;"
"Система автоматического управления литьем включает литьевую машину.","система автоматического управления литьем; литьевая машина;"
"Трансформатор силовой масляный с системой охлаждения, обмотки и магнитопровод.","трансформатор силовой; масляный трансформатор; система охлаждения; обмотка; магнитопровод;"
"Регулирование производительности шахтного вентилятора без его остановки достигается изменением угла установки лопаток рабочего колеса.","производительность; шахтный вентилятор; угол установки; лопатка; рабочее колесо;"
"Наружный блок сплит-системы включает компрессор, конденсатор, вентилятор и блок управления.","наружный блок сплит-системы; компрессор; конденсатор; вентилятор; блок управления;"
"Система автоматической мойки лабораторной посуды включает посудомоечную машину с программируемыми циклами.","система автоматической мойки; лабораторная посуда; посудомоечная машина; программируемые циклы;"
"Теплообменник пластинчатый для горячего водоснабжения включает пакет гофрированных пластин с прокладками.","теплообменник пластинчатый; пакет гофрированных пластин с прокладками;"
"Увлажнитель воздуха для систем вентиляции включает паровой или адиабатический увлажнитель.","увлажнитель воздуха; паровой увлажнитель; адиабатический увлажнитель;"
"Нефтепродукт-анализатор для контроля содержания нефтепродуктов в сточных водах.","нефтепродукт-анализатор; нефтепродукт; сточная вода;"
"Термостатический клапан для радиаторов отопления включает корпус с клапаном и термостатическую головку.","термостатический клапан; корпус с клапаном; термостатическая головка;"
"Комната-термостат для управления климатом включает программируемый контроллер, датчики температуры и влажности и интерфейс пользователя.","комната-термостат; управление климатом; программируемый контроллер; датчик температуры; датчик влажности; интерфейс пользователя;"
"Мультимедийная система с дисплеем, динамиками и блоком управления.","мультимедийная система; дисплей; динамик; блок управления;"
"BACnet-устройство для интеграции вентиляции в системы управления зданием включает интерфейс BACnet MS/TP или BACnet/IP.","BACnet-устройство; интерфейс BACnet MS/TP; интерфейс BACnet/IP;"
